cd_cliente,vl_total_historico,vl_desconto_historico,qtd_produtos_historico,fat_faixa,ds_segmento,modal_comerc,situacao_contrato,nps_historico_nota,resposta_NPS_previsao,mes_previsao,vl_total_previsao,vl_desconto_previsao,situacao_contrato_previsao
T00053,254759.0533562215,0.0,118,Faixa 05 - De 35 M ate 50 M,MANUFATURA,MODALIDADE TRADICIONAL,ATIVO,10.0,9,2025-09,267497.0060240326,0.0,Manter Ativo
T00082,452679.0964751565,0.0,245,Faixa 04 - De 25 M ate 35 M,CONSTRUCAO E PROJETOS,MODALIDADE TRADICIONAL,ATIVO,10.0,9,2025-09,475313.05129891436,0.0,Manter Ativo
T00145,728.4864432868164,0.0,31,Faixa 03 - De 15 M ate 25 M,LOGISTICA,MODALIDADE TRADICIONAL,ATIVO,9.0,9,2025-09,764.9107654511573,0.0,Manter Ativo
T00336,465034.5569764903,0.0,54,Faixa 08 - De 150 M ate 300 M,MANUFATURA,MODALIDADE ASSINATURA COMPLEMENTAR,ATIVO,7.0,8,2025-09,488286.2848253148,0.0,Manter Ativo
T00673,183124.07526123,168722.4418362074,108,Faixa 03 - De 15 M ate 25 M,MANUFATURA,MODALIDADE TRADICIONAL,ATIVO,9.0,9,2025-09,192280.2790242915,172096.89067293156,Manter Ativo
T00686,1006590.6726678726,0.0,66,Faixa 09 - De 300 M ate 500 M,MANUFATURA,MODALIDADE TRADICIONAL,CANCELADO,8.0,9,2025-09,1056920.2063012663,0.0,Risco de Churn
T01085,383258.2480172753,67633.65416734293,78,Faixa 07 - De 75 M ate 150 M,MANUFATURA,MODALIDADE TRADICIONAL,CANCELADO,8.0,8,2025-09,402421.1604181391,68986.32725068979,Risco de Churn
T01104,195412.52627611882,0.0,58,Faixa 04 - De 25 M ate 35 M,LOGISTICA,MODALIDADE TRADICIONAL,CANCELADO,10.0,9,2025-09,205183.15258992478,0.0,Risco de Churn
T01127,145867.2926493218,39308.58870447048,385,"Faixa 00 - Ate 4,5 M",MANUFATURA,MODALIDADE ASSINATURA COMPLEMENTAR,ATIVO,6.0,5,2025-09,153160.65728178792,40094.76047855989,Manter Ativo
T01134,3278522.612911385,870591.7880547344,280,Faixa 04 - De 25 M ate 35 M,MANUFATURA,MODALIDADE TRADICIONAL,ATIVO,10.0,9,2025-09,3442448.7435569544,888003.623815829,Manter Ativo
T01259,1615306.1297074878,349322.9415194755,188,Faixa 04 - De 25 M ate 35 M,VAREJO,MODALIDADE TRADICIONAL,ATIVO,10.0,9,2025-09,1696071.4361928622,356309.400349865,Manter Ativo
T01351,411498.47963846335,203657.0808997945,603,Faixa 08 - De 150 M ate 300 M,AGROINDUSTRIA,MODALIDADE TRADICIONAL,CANCELADO,9.0,9,2025-09,432073.40362038655,207730.2225177904,Risco de Churn
T01384,1830692.3426032253,94815.48061900903,352,Faixa 09 - De 300 M ate 500 M,DISTRIBUICAO,MODALIDADE TRADICIONAL,CANCELADO,9.0,9,2025-09,1922226.9597333865,96711.79023138921,Risco de Churn
T01436,348009.73635102663,0.0,9,Faixa 07 - De 75 M ate 150 M,CONSTRUCAO E PROJETOS,MODALIDADE TRADICIONAL,ATIVO,9.0,9,2025-09,365410.223168578,0.0,Manter Ativo
T01440,51766.194532129746,3621.190125153966,124,"Faixa 01 - De 4,5 M ate 7,5 M",HOSPITALITY,MODALIDADE TRADICIONAL,ATIVO,7.0,8,2025-09,54354.50425873623,3693.6139276570457,Manter Ativo
